mes_solo,estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion,latitud,longitud,desagregacion,beneficiarios
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""CHEJERUME""",NA,NA,m_7_12,77
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO ALTO ORINOCO,VE0201,CAPITAL ALTO ORINOCO,VE020100,"UNIDAD EDUCATIVA ""LA ESMERALDA""",NA,NA,f_3_6,22
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO ALTO ORINOCO,VE0201,CAPITAL ALTO ORINOCO,VE020100,"UNIDAD EDUCATIVA ""LA ESMERALDA""",NA,NA,f_7_12,58
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO ALTO ORINOCO,VE0201,CAPITAL ALTO ORINOCO,VE020100,"UNIDAD EDUCATIVA ""LA ESMERALDA""",NA,NA,m_3_6,26
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO ALTO ORINOCO,VE0201,CAPITAL ALTO ORINOCO,VE020100,"UNIDAD EDUCATIVA ""LA ESMERALDA""",NA,NA,m_7_12,62
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""MONSENOR ENRIQUE DE FERRARI""",NA,NA,f_7_12,358
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""MONSENOR ENRIQUE DE FERRARI""",NA,NA,m_7_12,373
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""SIMON BOLIVAR""",NA,NA,f_12_17,84
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""SIMON BOLIVAR""",NA,NA,f_7_12,255
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""SIMON BOLIVAR""",NA,NA,m_12_17,91
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""SIMON BOLIVAR""",NA,NA,m_7_12,258
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""SOR ANA EMILIA MORENO""",NA,NA,f_7_12,153
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""SOR ANA EMILIA MORENO""",NA,NA,m_7_12,158
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""VICENTE CAMPO ELIAS""",NA,NA,f_3_6,52
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""VICENTE CAMPO ELIAS""",NA,NA,f_7_12,83
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""VICENTE CAMPO ELIAS""",NA,NA,m_3_6,61
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""VICENTE CAMPO ELIAS""",NA,NA,m_7_12,91
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO AUTANA,VE0204,SAMARIAPO,VE020400,UNIDAD EDUCATIVA 15 DE ENERO,NA,NA,f_7_12,22
2020-11-30T00:00:00Z,AMAZONAS,VE02,AUTONOMO AUTANA,VE0204,SAMARIAPO,VE020400,UNIDAD EDUCATIVA 15 DE ENERO,NA,NA,m_7_12,24
2020-02-29T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,UNIDAD EDUCATIVA ARQUIDIOCESANA MADRE LAURA,10.56638,-71.6661,f_mayores_de_19,29
2020-02-29T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,UNIDAD EDUCATIVA ARQUIDIOCESANA MADRE LAURA,10.56638,-71.6661,m_mayores_de_19,3
